mode,filter_type,rate_%,build_type,trials,mean_latency_ms,std_latency_ms,mean_p99_ms,std_p99_ms,mean_p999_ms,std_p999_ms,mean_sampling_%,std_sampling_%,mean_fnr_%,std_fnr_%,mean_fpr_%,std_fpr_%,mean_cpu_s,std_cpu_s,add_cpu_s,mean_ram_mb,std_ram_mb
mode0,baseline,0.0,unpatched,20,0.036777588737023706,0.00012781696241732338,0.053454909500000015,0.00011170700993294702,0.07869700795000885,0.003960063191673017,0.0,0.0,0.0,0.0,0.0,0.0,70.2014,0.1981,0.0,11.04,0.04
mode0,codel_aqm,1.0,unpatched,20,0.0727497679409286,0.0004161629609127857,1.7505252555000077,0.07481350551146529,2.784300443450028,0.006378605711183893,99.999995,2.2360679775740193e-05,100.0,0.0,0.0,0.0,80.4014,0.1197,10.2,11.2,0.1
mode0,codel_aqm,5.0,unpatched,20,0.2030071669806981,0.0007767537619341097,2.5323693285000006,0.005581645705634141,3.539134299050077,0.02689307092112765,100.0,0.0,100.0,0.0,0.0,0.0,116.4809,0.2062,46.2796,11.22,0.0
mode0,codel_aqm,10.0,unpatched,20,0.3604482694437444,0.0012126271577607515,2.9333481600000013,0.010966720598781593,4.3327300968501,0.057315920386105224,100.0,0.0,100.0,0.0,0.0,0.0,156.7476,0.1947,86.5462,11.22,0.0
mode0,onnx_drl,0.1,unpatched,20,0.04346481168766877,0.0001446017443595216,0.06343912000000002,0.0009383464066111187,0.14607863570002327,0.011413684636852396,82.204175,0.4620837391357578,17.98444575527642,1.287946759043136,0.0,0.0,76.8329,0.0877,6.6316,21.97,0.16
mode0,onnx_drl,0.5,unpatched,20,0.044346701895989604,0.0001895083967071371,0.06490487800000003,0.0006551581567321175,0.1219825920000059,0.0030051756508770173,98.31593500000001,0.1367712661228287,1.6159477565297418,0.19462823662990786,0.0,0.0,77.7675,0.2656,7.5661,22.01,0.0
mode0,onnx_drl,1.0,unpatched,20,0.04398931188488849,9.566337373957818e-05,0.06402739500000003,0.0024213507250260666,0.11010178700000521,0.005109849867899039,99.91849,0.02661795792713197,0.0908002190171996,0.035384256104614736,0.0,0.0,77.7622,0.0476,7.5608,22.01,0.0
mode0,onnx_drl,5.0,unpatched,20,0.042949700890089,0.0001578526985216881,0.06478742850000002,0.0007931045131053915,0.10296353865000332,0.0025121222382320195,99.998955,0.0011033322732825937,0.0016994772583868675,0.002537457734435106,0.0,0.0,76.757,0.0781,6.5557,22.01,0.0
mode0,onnx_drl,10.0,unpatched,20,0.04137631966486648,0.0001497104695311266,0.06415392100000003,0.0008848200573586706,0.09926628975000208,0.0021953113030107997,99.999425,0.0008717043197395093,0.000699082676739472,0.0013386572897425516,0.0,0.0,75.2313,0.0698,5.0299,22.01,0.0
mode0,unpatched_native,1.0,unpatched,20,0.07466120174027403,0.0005926338320114897,1.766925196500008,0.09016161071758286,2.8540284943000374,0.01677553929714115,0.0,0.0,100.0,0.0,0.0,0.0,80.6729,0.3925,10.4715,11.07,0.1
mode0,unpatched_native,5.0,unpatched,20,0.2112586152369737,0.002371754608062912,2.6050418830000006,0.01835718002443505,3.64997874475008,0.03884206959936878,0.0,0.0,100.0,0.0,0.0,0.0,117.6158,0.4969,47.4145,11.09,0.0
mode0,unpatched_native,10.0,unpatched,20,0.37617376802850283,0.005171352141245007,3.0290301995000006,0.034247696077200886,4.4699432621000925,0.07898348602366495,0.0,0.0,100.0,0.0,0.0,0.0,158.6881,0.6981,88.4867,11.09,0.0
mode1,onnx_drl,0.1,unpatched,20,0.04138944628057804,0.0011752930437038285,0.05880707650000002,0.001129715267263014,0.09351347625000722,0.0049302095581179595,75.620845,0.062346016417715366,1.8406108053639822,0.6160870414000915,0.0,0.0,74.7482,2.1471,4.5469,22.01,0.0
mode1,onnx_drl,0.5,unpatched,20,0.041334458644064404,0.0010047849105057304,0.058939210000000006,0.001897094856693979,0.09186135840000256,0.008066237268575355,75.963335,0.03852766982449577,0.008917998125702204,0.02272426507737075,0.0,0.0,74.7299,1.8397,4.5286,22.01,0.0
mode1,onnx_drl,1.0,unpatched,20,0.04140379848244825,0.0009923141201720123,0.05876267700000002,0.0010339800886462068,0.09026207195000378,0.004549491790829479,75.96438500000001,0.03836311653823766,0.004974945897842092,0.006845863886375431,0.0,0.0,75.0469,1.9065,4.8456,22.01,0.0
mode1,onnx_drl,5.0,unpatched,20,0.04007917135078508,0.0011708642739888134,0.05887081950000002,0.0013262217400827607,0.09279658860000402,0.007408952401051646,75.965475,0.03852275984811752,0.0003988407598755529,0.0008184057419164119,0.0,0.0,73.4873,2.1243,3.2859,22.01,0.0
mode1,onnx_drl,10.0,unpatched,20,0.03860573321427142,0.000986943691315521,0.05887002600000002,0.0010362230560697376,0.09237420040000147,0.00531422571005471,75.96558499999999,0.03850353743147138,0.00034924135299195514,0.0006690603958996242,0.0,0.0,72.0515,1.9243,1.8501,22.01,0.0
mode1,unpatched_native,10.0,unpatched,20,1244.6687686293603,26.044105530414658,10127.843289639999,199.73036454170165,10528.823243575653,208.96516177658205,0.0,0.0,100.0,0.0,0.0,0.0,132.2502,0.216,62.0489,,
mode2,fsm_only,0.1,unpatched,20,0.040733068020302035,0.00023420685247608434,0.0573226,0.00017842480356249795,0.8293095096001124,0.0504624900501796,27.380110000000002,1.7905377271999372,54.88644058082332,4.584225808901872,0.0,0.0,73.487,0.2597,3.2856,11.07,0.1
mode2,fsm_only,10.0,unpatched,20,0.03821466747039703,0.00034374838823142287,0.05655701700000002,0.0002775883787211697,0.07875861950000275,0.004195961137147414,55.233315000000005,0.021909125111649188,0.04022742447407412,0.023348017329194927,0.0,0.0,71.9523,0.3077,1.751,11.09,0.0
mode2,onnx_drl,0.1,unpatched,20,0.04229401046879687,0.001028815507869681,0.06063478600000003,0.0016652743028399192,0.1150893003500092,0.0096351323865589,79.741545,0.2257335795158818,10.778882324166275,1.076213029061229,0.0,0.0,75.4892,1.8147,5.2878,22.01,0.0
mode2,onnx_drl,0.5,unpatched,20,0.042215684512201215,0.0010820751143896376,0.060379137500000034,0.0015408059137275146,0.09183437935000624,0.004486186397129552,84.97406,0.03484265987792209,0.09555480728413565,0.051605415212782314,0.0,0.0,75.7557,2.0199,5.5543,21.94,0.3
